0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2.400000000000000000e+01,4.600000000000000000e+01,6.600000000000000000e+01,8.100000000000000000e+01,1.080000000000000000e+02,1.120000000000000000e+02,1.320000000000000000e+02,1.220000000000000000e+02,1.320000000000000000e+02,1.220000000000000000e+02,1.320000000000000000e+02,1.220000000000000000e+02,1.320000000000000000e+02,1.220000000000000000e+02,1.320000000000000000e+02,1.220000000000000000e+02
1.700000000000000000e+01,3.900000000000000000e+01,9.500000000000000000e+01,1.050000000000000000e+02,1.370000000000000000e+02,1.310000000000000000e+02,1.590000000000000000e+02,1.350000000000000000e+02,1.590000000000000000e+02,1.350000000000000000e+02,1.590000000000000000e+02,1.350000000000000000e+02,1.590000000000000000e+02,1.350000000000000000e+02,1.590000000000000000e+02,1.350000000000000000e+02
1.800000000000000000e+01,5.400000000000000000e+01,1.100000000000000000e+02,1.190000000000000000e+02,1.520000000000000000e+02,1.480000000000000000e+02,1.760000000000000000e+02,1.540000000000000000e+02,1.760000000000000000e+02,1.540000000000000000e+02,1.760000000000000000e+02,1.540000000000000000e+02,1.760000000000000000e+02,1.540000000000000000e+02,1.760000000000000000e+02,1.540000000000000000e+02
1.300000000000000000e+01,4.300000000000000000e+01,1.000000000000000000e+02,1.120000000000000000e+02,1.440000000000000000e+02,1.340000000000000000e+02,1.580000000000000000e+02,1.400000000000000000e+02,1.580000000000000000e+02,1.400000000000000000e+02,1.580000000000000000e+02,1.400000000000000000e+02,1.580000000000000000e+02,1.400000000000000000e+02,1.580000000000000000e+02,1.400000000000000000e+02
2.000000000000000000e+01,5.000000000000000000e+01,9.300000000000000000e+01,1.200000000000000000e+02,1.330000000000000000e+02,1.380000000000000000e+02,1.440000000000000000e+02,1.380000000000000000e+02,1.440000000000000000e+02,1.380000000000000000e+02,1.440000000000000000e+02,1.380000000000000000e+02,1.440000000000000000e+02,1.380000000000000000e+02,1.440000000000000000e+02,1.380000000000000000e+02
1.900000000000000000e+01,5.900000000000000000e+01,9.600000000000000000e+01,1.130000000000000000e+02,1.330000000000000000e+02,1.330000000000000000e+02,1.480000000000000000e+02,1.390000000000000000e+02,1.480000000000000000e+02,1.390000000000000000e+02,1.480000000000000000e+02,1.390000000000000000e+02,1.480000000000000000e+02,1.390000000000000000e+02,1.480000000000000000e+02,1.390000000000000000e+02
1.600000000000000000e+01,5.900000000000000000e+01,1.050000000000000000e+02,1.110000000000000000e+02,1.340000000000000000e+02,1.330000000000000000e+02,1.470000000000000000e+02,1.510000000000000000e+02,1.470000000000000000e+02,1.510000000000000000e+02,1.470000000000000000e+02,1.510000000000000000e+02,1.470000000000000000e+02,1.510000000000000000e+02,1.470000000000000000e+02,1.510000000000000000e+02
2.000000000000000000e+01,4.600000000000000000e+01,8.700000000000000000e+01,9.300000000000000000e+01,1.130000000000000000e+02,1.030000000000000000e+02,1.180000000000000000e+02,1.070000000000000000e+02,1.180000000000000000e+02,1.070000000000000000e+02,1.180000000000000000e+02,1.070000000000000000e+02,1.180000000000000000e+02,1.070000000000000000e+02,1.180000000000000000e+02,1.070000000000000000e+02
1.500000000000000000e+01,6.300000000000000000e+01,1.360000000000000000e+02,1.700000000000000000e+02,2.050000000000000000e+02,2.040000000000000000e+02,2.120000000000000000e+02,2.040000000000000000e+02,2.120000000000000000e+02,2.040000000000000000e+02,2.120000000000000000e+02,2.040000000000000000e+02,2.120000000000000000e+02,2.040000000000000000e+02,2.120000000000000000e+02,2.040000000000000000e+02
1.300000000000000000e+01,6.000000000000000000e+01,1.300000000000000000e+02,1.260000000000000000e+02,1.640000000000000000e+02,1.380000000000000000e+02,1.720000000000000000e+02,1.380000000000000000e+02,1.720000000000000000e+02,1.380000000000000000e+02,1.720000000000000000e+02,1.380000000000000000e+02,1.720000000000000000e+02,1.380000000000000000e+02,1.720000000000000000e+02,1.380000000000000000e+02
